time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2010-07-16 09:30:00-04:00,DiversifiedLeverage,UGL,buy,market,fill,1,gtc,0.0,1,stock,51.25,8,2.05
2010-07-16 09:30:00-04:00,DiversifiedLeverage,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,0.4605729877948761,1835,4.225757163017988
2010-07-16 09:30:00-04:00,DiversifiedLeverage,DIG,buy,market,fill,1,gtc,0.0,1,stock,35.0,5,0.875
2010-07-16 09:30:00-04:00,DiversifiedLeverage,UPRO,sell,market,fill,1,gtc,0.0,1,stock,1.866528034210205,228,2.127841958999634
2010-07-22 09:30:00-04:00,DiversifiedLeverage,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-22 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-22 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-22 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-22 09:30:00-04:00,DiversifiedLeverage,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2010-07-22 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-22 09:30:00-04:00,DiversifiedLeverage,DIG,sell,market,fill,1,gtc,0.0,1,stock,35.087501525878906,2,0.35087501525878906
2010-07-22 09:30:00-04:00,DiversifiedLeverage,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.4237499237060547,80,1.369499969482422
2010-07-22 09:30:00-04:00,DiversifiedLeverage,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,0.4518750011920929,732,1.65386250436306
2010-07-22 09:30:00-04:00,DiversifiedLeverage,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.824444055557251,193,1.7605885136127473
2010-07-22 09:30:00-04:00,DiversifiedLeverage,UGL,buy,market,fill,1,gtc,0.0,1,stock,50.52000045776367,6,1.5156000137329102
2010-07-22 09:30:00-04:00,DiversifiedLeverage,TMF,sell,market,fill,1,gtc,0.0,1,stock,11.295000076293945,50,2.8237500190734863
2010-07-28 09:30:00-04:00,DiversifiedLeverage,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2010-07-28 09:30:00-04:00,DiversifiedLeverage,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
